favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Hootsuite,"@matny We’re glad you’re liking our re-imagined #app. Tell us, what’s your favorite way to #paypalit?",,False,Mon Nov 04 22:45:56 +0000 2013,0,397494952294625280
0,Hootsuite,@Parul_K That’s what #TheFuture is all about. #paypalit,Parul_K,False,Fri May 03 20:16:21 +0000 2013,0,330415555699957761
12,Hootsuite,"If you're headed to #SXSW this year, check out our #Austin city guide. It may come in handy later: http://t.co/yLUbvP1s5o. #PayPalSXSW",,False,Fri Mar 06 21:02:22 +0000 2015,12,573951780859613186
0,Hootsuite,@defsanj  So much love for you! #paypalit,,False,Mon Nov 18 22:01:06 +0000 2013,0,402557101702410240
0,Twitter Web Client,"RT @dsmoore: The new @paypal ""My Account View"" is really nice. Great work team!",,False,Fri Jun 19 16:22:05 +0000 2009,0,2240123436
3,TweetDeck,VIDEO from @foxbusiness: Thompson: PayPal's Mobile Business is Explosive http://bit.ly/kCHyA0,,False,Tue May 03 20:56:08 +0000 2011,5,65520034168045568
4,Twitter Web Client,"A1: We're @PayPal, joining you from California! #PassionPassport",,False,Thu Aug 20 18:06:55 +0000 2015,3,634426401949507584
58,Hootsuite,"Are you feeling warm and fuzzy yet? Win $50,000 in just 60 seconds: http://t.co/steBFvLyPb. #paypalit http://t.co/ELrr3VEpwO",,False,Mon Mar 30 16:01:13 +0000 2015,10,582573300930478080
2,Hootsuite,"@JonathanRPham It’s #soeasy to #paypalit for pizza, but the wait can still be brutal.",JonathanRPham,False,Sat Mar 15 00:00:26 +0000 2014,1,444624125236355072
5,Hootsuite,.@Yummertime is back for Day 2 @sfoutsidelands &amp; ready to listen to some tunes and rack up tickets at the PayPal Arcade! #paypalit,,False,Sat Aug 06 20:30:10 +0000 2016,2,762022980692107264
0,Twitter Web Client,"@EmilyMaynard Such a cute dress! We're loving your blog and tips. Tell us, what's on your #SummerBucketList? #paypalit",EmilyMaynard,False,Wed May 22 15:56:58 +0000 2013,0,337235647779704832
3,Hootsuite,Last day sets @sfoutsidelands are giving us all the feels. ❤️ 🎶 #paypalit https://t.co/gExHcfSUxU,,False,Mon Aug 08 03:00:34 +0000 2016,3,762483613325598720
0,TweetDeck,"Innovate 2010 is next week, only a few seats left! http://bit.ly/cGNskr #xinnovate #xchat",,False,Tue Oct 19 18:42:36 +0000 2010,3,27858537840
0,Twitter Web Client,Thompson: We believe that PayPal is the only company positioned to be the digital wallet across all these devices #eBayInc,,False,Thu Feb 10 16:44:38 +0000 2011,5,35740939016212480
0,Hootsuite,@cammylives #paypalit to make your day a little richer.,ellimacjo,False,Fri Aug 16 20:15:56 +0000 2013,0,368466176290349056
1,Twitter Web Client,@FlipFlop_Mommy Thanks for your reply! All codes have been redeemed but you can find more PayPal holiday deals here: https://t.co/3cjUCa3UGc,FlipFlop_Mommy,False,Thu Dec 15 23:01:59 +0000 2016,0,809533993100013568
1,Twitter Web Client,1/Change is sweeping through our industry driven by the rise of mobile &amp; money becoming digital … #PYPL $PYPL,,False,Wed Oct 28 21:05:27 +0000 2015,3,659476093007605761
6,Twitter Web Client,"Hey thrill seekers! Ever wanted to hang glide, sail or scuba dive? Wish now and you could win it. http://t.co/wWS28nzXPs #paypalgenie",,False,Fri Dec 05 01:42:18 +0000 2014,2,540682543758987265
0,Hootsuite,@snapbackattack Thanks for the love – right back at ya!,ShoeboxJoe,False,Fri Mar 22 19:55:36 +0000 2013,0,315190042572247040
0,Hootsuite,@aveyacreative So glad you’re liking our new look. How will you #paypalit next?,aveyacreative,False,Mon Apr 07 22:30:40 +0000 2014,0,453298841287413760
1,Twitter Web Client,"Happy #FathersDay #weekend. Tell us, why is your dad a super hero? #paypalit http://t.co/nInhxENy9E",,False,Fri Jun 14 16:56:03 +0000 2013,1,345585436099497984
1,Hootsuite,@MishkaNYC We couldn’t agree more. #paypalit,MishkaNYC,False,Wed May 29 21:45:16 +0000 2013,3,339860013394829312
0,Hootsuite,@tinkgrrrbell @Eat24 Sounds like a good time! It’s just too easy to #paypalit.,,False,Tue Sep 03 22:45:47 +0000 2013,0,375026865821716480
14,Hootsuite,Learn how the Brooklyn-based company @BeeRaw uses PayPal to drive their global mission for good - to save bees: https://t.co/UKAbqowBQx.,,False,Tue Jul 05 21:15:06 +0000 2016,11,750437875133587457
1,Twitter Web Client,New on The PayPal Blog: We've Resumed Local Bank Withdrawals in India http://bit.ly/9uZIIW,,False,Thu Mar 04 14:46:01 +0000 2010,3,9976130461
2,Twitter Web Client,.@karenmpd says @PayPal has arguably the only #digitalwallet available today.,,False,Tue Oct 23 16:25:12 +0000 2012,2,260778911921737728
25,Twitter Web Client,"PayPal's @Dan_Schulman: As the world digitizes..it allows us to reimagine not what was, but what could be https://t.co/7sm6EbKYQo #CubaVisit",,False,Tue Mar 22 01:33:35 +0000 2016,18,712089810156916736
